trade_date,margin_balance_trillion,total_market_cap_trillion,margin_to_market_cap_pct,source,note
20260721,2.709923741052,122.766079203263,2.2073880331106746,上交所融资融券汇总 + 深交所融资融券汇总,上交所按元；深交所汇总接口按亿元转换；备用历史表按元。
20260722,2.711416013482,43.415413881217326,6.245284269085435,深交所融资融券汇总 + 上海两融历史公开表,上交所按元；深交所汇总接口按亿元转换；备用历史表按元。
20260723,2.701897373189,105.9003089298592,2.551359292991812,上交所融资融券汇总 + 深交所融资融券汇总,上交所按元；深交所汇总接口按亿元转换；备用历史表按元。
20260728,2.660724349244,42.52864088539186,6.256311732167136,深交所融资融券汇总 + 上海两融历史公开表,上交所按元；深交所汇总接口按亿元转换；备用历史表按元。
20260729,2.635122666685,108.2168439376631,2.435039288526034,上交所融资融券汇总 + 深交所融资融券汇总,上交所按元；深交所汇总接口按亿元转换；备用历史表按元。
20260806,2.631562572133,113.7204632232013,2.314062480529984,上交所融资融券汇总 + 深交所融资融券汇总,上交所按元；深交所汇总接口按亿元转换；备用历史表按元。
20260807,2.639258452207,45.41910389351109,5.810899436490344,深交所融资融券汇总 + 上海两融历史公开表,上交所按元；深交所汇总接口按亿元转换；备用历史表按元。
20260810,2.653832194533,114.23062204020916,2.3232230965168443,上交所融资融券汇总 + 深交所融资融券汇总,上交所按元；深交所汇总接口按亿元转换；备用历史表按元。
20260811,2.655000080022,115.2021265607431,2.304645026341668,上交所融资融券汇总 + 深交所融资融券汇总,上交所按元；深交所汇总接口按亿元转换；备用历史表按元。
20260812,2.664768633474,114.38106541134024,2.3297288094763653,上交所融资融券汇总 + 深交所融资融券汇总,上交所按元；深交所汇总接口按亿元转换；备用历史表按元。
20260813,2.667345492903,114.71320842460533,2.325229613515779,上交所融资融券汇总 + 深交所融资融券汇总,上交所按元；深交所汇总接口按亿元转换；备用历史表按元。
20260814,2.665500926549,117.1339669551985,2.275600319733475,上交所融资融券汇总 + 深交所融资融券汇总,上交所按元；深交所汇总接口按亿元转换；备用历史表按元。
20260817,2.684096209249,46.25839168941058,5.802398464846413,深交所融资融券汇总 + 上海两融历史公开表,上交所按元；深交所汇总接口按亿元转换；备用历史表按元。
20260818,2.689559274743,113.191440353049,2.376115425648926,上交所融资融券汇总 + 深交所融资融券汇总,上交所按元；深交所汇总接口按亿元转换；备用历史表按元。
20260819,2.659300765166,44.35749417415067,5.995155530484649,深交所融资融券汇总 + 上海两融历史公开表,上交所按元；深交所汇总接口按亿元转换；备用历史表按元。
20260820,2.657992753023,44.57160319318636,5.963421915748649,深交所融资融券汇总 + 上海两融历史公开表,上交所按元；深交所汇总接口按亿元转换；备用历史表按元。
20260821,2.652054522369,112.59196815342078,2.355456224688462,上交所融资融券汇总 + 深交所融资融券汇总,上交所按元；深交所汇总接口按亿元转换；备用历史表按元。
20260825,2.647656390023,113.44784949585323,2.333809236392601,上交所融资融券汇总 + 深交所融资融券汇总,上交所按元；深交所汇总接口按亿元转换；备用历史表按元。
20260831,2.656377689061,44.733266188937954,5.938260081080091,深交所融资融券汇总 + 上海两融历史公开表,上交所按元；深交所汇总接口按亿元转换；备用历史表按元。
